scenario,partition_id,partition,lambda,safe,first_violation,event_count,peak_prefill,peak_decode,minimum_link_headroom_mb_s,peak_memory_gb
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.015,False,network,68,1,6,-106.429294,30.56597
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.0155,False,network,68,1,6,-106.429294,30.56597
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.016,False,network,68,1,6,-106.429294,30.56597
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.0165,False,network,60,1,6,-107.014876,30.56597
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.017,False,network,60,1,6,-107.014876,30.56597
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.0175,False,network,59,1,6,-106.895125,30.56597
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.018,False,network,26,1,6,-115.647505,30.55973
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.0185,False,network,26,1,6,-115.647505,30.55973
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.019,False,network,26,1,6,-115.647505,30.55349
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.0195,False,network,26,1,6,-115.647505,30.54725
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.02,False,network,25,1,6,-115.537242,30.54725
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.0205,False,network,25,1,6,-115.537242,30.54725
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.021,False,network,25,1,6,-115.537242,30.54725
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.0215,False,network,24,1,6,-115.421618,30.54725
homogeneous_control,random_00,8-12-8-9-10-9-13-11,0.022,False,network,24,1,6,-115.421618,30.54725
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.006,True,,204,1,4,584.631518,32.2822
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0065,True,,204,1,5,358.41104,32.64508
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.007,True,,204,1,5,358.516848,32.63836
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0075,True,,204,1,6,119.685981,33.53338
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.008,True,,204,1,6,119.797075,33.52666
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0085,True,,204,1,6,120.032956,33.51322
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.009,True,,204,1,6,119.830963,33.52666
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0095,False,network,166,1,6,-134.718641,33.51994
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.01,False,network,116,1,6,-104.795979,32.2339
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0105,False,network,116,1,6,-104.795979,32.22046
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.011,False,network,104,1,6,-112.032912,32.34814
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0115,False,network,102,1,6,-111.79799,32.34814
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.012,False,network,101,1,6,-111.677362,32.34814
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0125,False,network,74,1,6,-107.115817,32.34142
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.013,False,network,74,1,6,-107.115817,32.34142
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0135,False,network,73,1,6,-106.992345,32.34142
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.014,False,network,73,1,6,-106.992345,32.34142
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0145,False,network,71,1,6,-106.760412,32.46238
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.015,False,network,68,1,6,-106.429294,32.45566
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0155,False,network,68,1,6,-106.429294,32.45566
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.016,False,network,68,1,6,-106.429294,32.45566
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0165,False,network,60,1,6,-107.014876,32.45566
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.017,False,network,60,1,6,-107.014876,32.45566
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0175,False,network,59,1,6,-106.895125,32.45566
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.018,False,network,26,1,6,-115.647505,32.44894
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0185,False,network,26,1,6,-115.647505,32.44894
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.019,False,network,26,1,6,-115.647505,32.44222
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0195,False,network,26,1,6,-115.647505,32.4355
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.02,False,network,25,1,6,-115.537242,32.4355
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0205,False,network,25,1,6,-115.537242,32.4355
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.021,False,network,25,1,6,-115.537242,32.4355
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.0215,False,network,24,1,6,-115.421618,32.4355
homogeneous_control,random_01,9-14-9-8-9-10-12-9,0.022,False,network,24,1,6,-115.421618,32.4355
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.006,True,,204,1,4,584.631518,32.2822
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0065,True,,204,1,5,358.41104,32.64508
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.007,True,,204,1,5,358.516848,32.63836
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0075,True,,204,1,6,119.685981,33.53338
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.008,True,,204,1,6,119.797075,33.52666
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0085,True,,204,1,6,120.032956,33.51322
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.009,True,,204,1,6,119.830963,33.52666
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0095,False,network,166,1,6,-134.718641,33.51994
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.01,False,network,116,1,6,-104.795979,32.2339
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0105,False,network,116,1,6,-104.795979,32.22046
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.011,False,network,104,1,6,-112.032912,32.34814
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0115,False,network,102,1,6,-111.79799,32.34814
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.012,False,network,101,1,6,-111.677362,32.34814
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0125,False,network,74,1,6,-107.115817,32.34142
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.013,False,network,74,1,6,-107.115817,32.34142
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0135,False,network,73,1,6,-106.992345,32.34142
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.014,False,network,73,1,6,-106.992345,32.34142
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0145,False,network,71,1,6,-106.760412,32.46238
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.015,False,network,68,1,6,-106.429294,32.45566
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0155,False,network,68,1,6,-106.429294,32.45566
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.016,False,network,68,1,6,-106.429294,32.45566
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0165,False,network,60,1,6,-107.014876,32.45566
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.017,False,network,60,1,6,-107.014876,32.45566
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0175,False,network,59,1,6,-106.895125,32.45566
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.018,False,network,26,1,6,-115.647505,32.44894
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0185,False,network,26,1,6,-115.647505,32.44894
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.019,False,network,26,1,6,-115.647505,32.44222
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0195,False,network,26,1,6,-115.647505,32.4355
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.02,False,network,25,1,6,-115.537242,32.4355
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0205,False,network,25,1,6,-115.537242,32.4355
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.021,False,network,25,1,6,-115.537242,32.4355
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.0215,False,network,24,1,6,-115.421618,32.4355
homogeneous_control,random_02,10-8-13-7-14-13-9-6,0.022,False,network,24,1,6,-115.421618,32.4355
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.006,True,,204,1,4,584.631518,28.5276
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0065,True,,204,1,5,358.41104,28.83864
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.007,True,,204,1,5,358.516848,28.83288
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0075,True,,204,1,6,119.685981,29.60004
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.008,True,,204,1,6,119.797075,29.59428
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0085,True,,204,1,6,120.032956,29.58276
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.009,True,,204,1,6,119.830963,29.59428
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0095,False,network,166,1,6,-134.718641,29.58852
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.01,False,network,116,1,6,-104.795979,28.4862
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0105,False,network,116,1,6,-104.795979,28.47468
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.011,False,network,104,1,6,-112.032912,28.58412
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0115,False,network,102,1,6,-111.79799,28.58412
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.012,False,network,101,1,6,-111.677362,28.58412
